response,set,sheet
Gladiatorial combat.,CAH: First Expansion,CAH Expansions
Good grammar.,CAH: First Expansion,CAH Expansions
Having a penis.,CAH: First Expansion,CAH Expansions
Hipsters.,CAH: First Expansion,CAH Expansions
Historical revisionism.,CAH: First Expansion,CAH Expansions
Insatiable bloodlust.,CAH: First Expansion,CAH Expansions
Jafar.,CAH: First Expansion,CAH Expansions
Jean-Claude Van Damme in slow motion.,CAH: First Expansion,CAH Expansions
Jean-Claude Van Damme.,CAH: First Expansion,CAH Expansions
Just the tip.,CAH: First Expansion,CAH Expansions
Leveling up.,CAH: First Expansion,CAH Expansions
Literally eating shit.,CAH: First Expansion,CAH Expansions
Mad hacky-sack skills.,CAH: First Expansion,CAH Expansions
Making the penises kiss.,CAH: First Expansion,CAH Expansions
Media coverage.,CAH: First Expansion,CAH Expansions
Medieval Times® Dinner & Tournament.,CAH: First Expansion,CAH Expansions
Mom.,CAH: First Expansion,CAH Expansions
Moral ambiguity.,CAH: First Expansion,CAH Expansions
My machete.,CAH: First Expansion,CAH Expansions
Neil Patrick Harris.,CAH: First Expansion,CAH Expansions
NOOOOOOOOO!!!,CAH: First Expansion,CAH Expansions
Nubile slave boys.,CAH: First Expansion,CAH Expansions
Ominous background music.,CAH: First Expansion,CAH Expansions
One thousand Slim Jims.,CAH: First Expansion,CAH Expansions
Overpowering your father.,CAH: First Expansion,CAH Expansions
Panty raids.,CAH: First Expansion,CAH Expansions
Pistol-whipping a hostage.,CAH: First Expansion,CAH Expansions
Quiche.,CAH: First Expansion,CAH Expansions
Quivering jowls.,CAH: First Expansion,CAH Expansions
Revenge fucking.,CAH: First Expansion,CAH Expansions
Ripping into a man's chest and pulling out his still-beating heart.,CAH: First Expansion,CAH Expansions
Ryan Gosling riding in on a white horse.,CAH: First Expansion,CAH Expansions
Salvia.,CAH: First Expansion,CAH Expansions
Sanding off a man's nose.,CAH: First Expansion,CAH Expansions
Santa Claus.,CAH: First Expansion,CAH Expansions
Savagely beating a mascot.,CAH: First Expansion,CAH Expansions
Scrotum tickling.,CAH: First Expansion,CAH Expansions
Sexual humiliation.,CAH: First Expansion,CAH Expansions
Sexy Siamese twins.,CAH: First Expansion,CAH Expansions
Shaft.,CAH: First Expansion,CAH Expansions
Shitting out a screaming face.,CAH: First Expansion,CAH Expansions
Slow motion.,CAH: First Expansion,CAH Expansions
Space muffins.,CAH: First Expansion,CAH Expansions
Statistically validated stereotypes.,CAH: First Expansion,CAH Expansions
Stockholm Syndrome.,CAH: First Expansion,CAH Expansions
Sudden Poop Explosion Disease.,CAH: First Expansion,CAH Expansions
Suicidal thoughts.,CAH: First Expansion,CAH Expansions
Syphilitic insanity.,CAH: First Expansion,CAH Expansions
The boners of the elderly.,CAH: First Expansion,CAH Expansions
The economy.,CAH: First Expansion,CAH Expansions
The Fanta® girls.,CAH: First Expansion,CAH Expansions
The four arms of Vishnu.,CAH: First Expansion,CAH Expansions
The Gulags.,CAH: First Expansion,CAH Expansions
The harsh light of day.,CAH: First Expansion,CAH Expansions
The hiccups.,CAH: First Expansion,CAH Expansions
The ooze.,CAH: First Expansion,CAH Expansions
The shambling corpse of Larry King.,CAH: First Expansion,CAH Expansions
The worst pain imaginable. Times two!,CAH: First Expansion,CAH Expansions
This guy!,CAH: First Expansion,CAH Expansions
Tripping balls.,CAH: First Expansion,CAH Expansions
Walking in on Dad peeing into Mom's mouth.,CAH: First Expansion,CAH Expansions
"Words, words, words.",CAH: First Expansion,CAH Expansions
Zeus's sexual appetites.,CAH: First Expansion,CAH Expansions
10 Incredible Facts About the Anus.,CAH: Fourth Expansion,CAH Expansions
A bunch of idiots playing a card game instead of interacting like normal humans.,CAH: Fourth Expansion,CAH Expansions
A dance move that's just sex.,CAH: Fourth Expansion,CAH Expansions
A fart.,CAH: Fourth Expansion,CAH Expansions
A for-real lizard that spits blood from its eyes.,CAH: Fourth Expansion,CAH Expansions
A gender identity that can only be conveyed through slam poetry.,CAH: Fourth Expansion,CAH Expansions
A hopeless amount of spiders.,CAH: Fourth Expansion,CAH Expansions
A horse with no legs.,CAH: Fourth Expansion,CAH Expansions
A kiss on the lips.,CAH: Fourth Expansion,CAH Expansions
A manhole.,CAH: Fourth Expansion,CAH Expansions
A Native American who solves crimes by going into the spirit world.,CAH: Fourth Expansion,CAH Expansions
A sex comet from Neptune that plunges the Earth into eternal sexiness.,CAH: Fourth Expansion,CAH Expansions
A sex goblin with a carnival penis.,CAH: Fourth Expansion,CAH Expansions
A shiny rock that proves I love you.,CAH: Fourth Expansion,CAH Expansions
A Ugandan warlord.,CAH: Fourth Expansion,CAH Expansions
Actual mutants with medical conditions and no superpowers.,CAH: Fourth Expansion,CAH Expansions
Africa.,CAH: Fourth Expansion,CAH Expansions
All the single ladies.,CAH: Fourth Expansion,CAH Expansions
Almost giving money to a homeless person.,CAH: Fourth Expansion,CAH Expansions
Ambiguous sarcasm.,CAH: Fourth Expansion,CAH Expansions
An interracial handshake.,CAH: Fourth Expansion,CAH Expansions
Angelheaded hipsters burning for the ancient heavenly connection to the starry dynamo in the machinery of night.,CAH: Fourth Expansion,CAH Expansions
Ass to mouth.,CAH: Fourth Expansion,CAH Expansions
Blackula.,CAH: Fourth Expansion,CAH Expansions
Bouncing up and down.,CAH: Fourth Expansion,CAH Expansions
Calculating every mannerism so as not to suggest homosexuality.,CAH: Fourth Expansion,CAH Expansions
Child Protective Services.,CAH: Fourth Expansion,CAH Expansions
Crazy opium eyes.,CAH: Fourth Expansion,CAH Expansions
Dem titties.,CAH: Fourth Expansion,CAH Expansions
Depression.,CAH: Fourth Expansion,CAH Expansions
Doo-doo.,CAH: Fourth Expansion,CAH Expansions
Drinking responsibly.,CAH: Fourth Expansion,CAH Expansions
Exploding pigeons.,CAH: Fourth Expansion,CAH Expansions
Falling into the toilet.,CAH: Fourth Expansion,CAH Expansions
Finally finishing off the Indians.,CAH: Fourth Expansion,CAH Expansions
Fucking a corpse back to life.,CAH: Fourth Expansion,CAH Expansions
Grammar nazis who are also regular Nazis.,CAH: Fourth Expansion,CAH Expansions
How awesome I am.,CAH: Fourth Expansion,CAH Expansions
Injecting speed into one arm and horse tranquilizer into the other.,CAH: Fourth Expansion,CAH Expansions
Interspecies marriage.,CAH: Fourth Expansion,CAH Expansions
Jizz.,CAH: Fourth Expansion,CAH Expansions
Khakis.,CAH: Fourth Expansion,CAH Expansions
Lots and lots of abortions.,CAH: Fourth Expansion,CAH Expansions
Moderate-to-severe joint pain.,CAH: Fourth Expansion,CAH Expansions
My dad's dumb fucking face.,CAH: Fourth Expansion,CAH Expansions
My sex dungeon.,CAH: Fourth Expansion,CAH Expansions
My worthless son.,CAH: Fourth Expansion,CAH Expansions
Neil Diamond's Greatest Hits.,CAH: Fourth Expansion,CAH Expansions
"No clothes on, penis in vagina.",CAH: Fourth Expansion,CAH Expansions
Party Mexicans.,CAH: Fourth Expansion,CAH Expansions
"Prince Ali, fabulous he, Ali Ababwa.",CAH: Fourth Expansion,CAH Expansions
Sharks with legs.,CAH: Fourth Expansion,CAH Expansions
"Smoking crack, for instance.",CAH: Fourth Expansion,CAH Expansions
Snorting coke off a clown's boner.,CAH: Fourth Expansion,CAH Expansions
Some sort of Asian.,CAH: Fourth Expansion,CAH Expansions
Sports.,CAH: Fourth Expansion,CAH Expansions
Stuffing a child's face with Fun Dip® until he starts having fun.,CAH: Fourth Expansion,CAH Expansions
Sugar madness.,CAH: Fourth Expansion,CAH Expansions
The best taquito in the galaxy.,CAH: Fourth Expansion,CAH Expansions
The complex geopolitical quagmire that is the Middle East.,CAH: Fourth Expansion,CAH Expansions
The euphoric rush of strangling a drifter.,CAH: Fourth Expansion,CAH Expansions
The peaceful and nonthreatening rise of China.,CAH: Fourth Expansion,CAH Expansions
The safe word.,CAH: Fourth Expansion,CAH Expansions
The secret formula for ultimate female satisfaction.,CAH: Fourth Expansion,CAH Expansions
The size of my penis.,CAH: Fourth Expansion,CAH Expansions
The tiniest shred of evidence that God is real.,CAH: Fourth Expansion,CAH Expansions
Three consecutive seconds of happiness.,CAH: Fourth Expansion,CAH Expansions
Unquestioning obedience.,CAH: Fourth Expansion,CAH Expansions
What Jesus would do.,CAH: Fourth Expansion,CAH Expansions
Whatever a McRib® is made of.,CAH: Fourth Expansion,CAH Expansions
Whispering all sexy.,CAH: Fourth Expansion,CAH Expansions
10 football players with erections barrelling towards you at full speed.,CAH: Green Box Expansion,CAH Expansions
"10,000 shrieking teenage girls.",CAH: Green Box Expansion,CAH Expansions
A big ol’ plate of fettuccini alfredo.,CAH: Green Box Expansion,CAH Expansions
"A big, beautiful mouth packed to the brim with sparkling white teeth.",CAH: Green Box Expansion,CAH Expansions
A black friend.,CAH: Green Box Expansion,CAH Expansions
A burrito that’s just sour cream.,CAH: Green Box Expansion,CAH Expansions
A cheerfulness that belies a deep-seated self-loathing.,CAH: Green Box Expansion,CAH Expansions
A cold and indifferent universe.,CAH: Green Box Expansion,CAH Expansions
A creature made of penises that must constantly arouse itself to survive.,CAH: Green Box Expansion,CAH Expansions
A creepy child singing a nursery rhyme.,CAH: Green Box Expansion,CAH Expansions
A dolphin that learns to talk and becomes the Dean of Harvard Law School.,CAH: Green Box Expansion,CAH Expansions
A duffel bag full of lizards.,CAH: Green Box Expansion,CAH Expansions
A finger up the butt.,CAH: Green Box Expansion,CAH Expansions
A genetic predisposition for alcoholism.,CAH: Green Box Expansion,CAH Expansions
A gun that shoots cobras.,CAH: Green Box Expansion,CAH Expansions
A hug.,CAH: Green Box Expansion,CAH Expansions
A long business meeting with no obvious purpose.,CAH: Green Box Expansion,CAH Expansions
A man in a suit with perfect hair who tells you beautiful lies.,CAH: Green Box Expansion,CAH Expansions
A man with the head of a goat and the body of a goat.,CAH: Green Box Expansion,CAH Expansions
A massive collection of child pornography.,CAH: Green Box Expansion,CAH Expansions
A medium horchata.,CAH: Green Box Expansion,CAH Expansions
A negative body image that is totally justified.,CAH: Green Box Expansion,CAH Expansions
A slowly encroaching circle of wolves.,CAH: Green Box Expansion,CAH Expansions
A strong horse and enough rations for thirty days.,CAH: Green Box Expansion,CAH Expansions
A terrified fat child who won’t come out of the bushes.,CAH: Green Box Expansion,CAH Expansions
A tiny fireman who puts out tiny fires.,CAH: Green Box Expansion,CAH Expansions
A weird guy who says weird stuff and weirds me out.,CAH: Green Box Expansion,CAH Expansions
A woman’s perspective.,CAH: Green Box Expansion,CAH Expansions
A woman’s right to choose.,CAH: Green Box Expansion,CAH Expansions
Aborting the shit out of a fetus.,CAH: Green Box Expansion,CAH Expansions
Albert Einstein but if he had huge muscles and a rhinoceros cock.,CAH: Green Box Expansion,CAH Expansions
All the people I’ve killed.,CAH: Green Box Expansion,CAH Expansions
An arrangement wherein I give a person money and they have sex with me.,CAH: Green Box Expansion,CAH Expansions
An empowered woman.,CAH: Green Box Expansion,CAH Expansions
An incurable homosexual.,CAH: Green Box Expansion,CAH Expansions
An old dog dragging its anus across the floor.,CAH: Green Box Expansion,CAH Expansions
An old dog full of tumors.,CAH: Green Box Expansion,CAH Expansions
An older man.,CAH: Green Box Expansion,CAH Expansions
An X-Man whose power is that he has sex with dogs and children.,CAH: Green Box Expansion,CAH Expansions
Anal.,CAH: Green Box Expansion,CAH Expansions
Antidepressants.,CAH: Green Box Expansion,CAH Expansions
Art.,CAH: Green Box Expansion,CAH Expansions
Assassinating the president.,CAH: Green Box Expansion,CAH Expansions
Awesome pictures of planets and stuff.,CAH: Green Box Expansion,CAH Expansions
Bad emotions I don’t want.,CAH: Green Box Expansion,CAH Expansions
Becoming the President of the United States.,CAH: Green Box Expansion,CAH Expansions
Being sexually attracted to children.,CAH: Green Box Expansion,CAH Expansions
Being turned into sausages.,CAH: Green Box Expansion,CAH Expansions
Beyoncé.,CAH: Green Box Expansion,CAH Expansions
"Big, smart money boys tap-tapping on their keyboards.",CAH: Green Box Expansion,CAH Expansions
Blossoming into a beautiful young woman.,CAH: Green Box Expansion,CAH Expansions
Breastfeeding in public like a radiant earth goddess.,CAH: Green Box Expansion,CAH Expansions
Brunch.,CAH: Green Box Expansion,CAH Expansions
Catching a live salmon in your mouth.,CAH: Green Box Expansion,CAH Expansions
Child labor.,CAH: Green Box Expansion,CAH Expansions
China.,CAH: Green Box Expansion,CAH Expansions
Chipotle.,CAH: Green Box Expansion,CAH Expansions
Chris Hemsworth.,CAH: Green Box Expansion,CAH Expansions
Comprehensive immigration reform.,CAH: Green Box Expansion,CAH Expansions
Condoleezza Rice.,CAH: Green Box Expansion,CAH Expansions
"Consensual, nonreproductive incest.",CAH: Green Box Expansion,CAH Expansions
Content.,CAH: Green Box Expansion,CAH Expansions
Crazy anal orgasms.,CAH: Green Box Expansion,CAH Expansions
"Creamy slices of real, California avocado.",CAH: Green Box Expansion,CAH Expansions
Critical thinking.,CAH: Green Box Expansion,CAH Expansions
Crushing the patriarchy.,CAH: Green Box Expansion,CAH Expansions
Daddy going away forever.,CAH: Green Box Expansion,CAH Expansions
Defeating a gorilla in single combat.,CAH: Green Box Expansion,CAH Expansions
Denying the Holocaust.,CAH: Green Box Expansion,CAH Expansions
Dis bitch.,CAH: Green Box Expansion,CAH Expansions
Discovering that what I really want in life is to kill people and have sex with their corpses.,CAH: Green Box Expansion,CAH Expansions
Doing a somersault and barfing.,CAH: Green Box Expansion,CAH Expansions
Dominating a man by peeing on his eldest son.,CAH: Green Box Expansion,CAH Expansions
Doritos and a Fruit Roll-Up.,CAH: Green Box Expansion,CAH Expansions
Dropping dead in a Sbarro’s bathroom and not being found for 72 hours.,CAH: Green Box Expansion,CAH Expansions
Dumpster juice.,CAH: Green Box Expansion,CAH Expansions
Eating ass.,CAH: Green Box Expansion,CAH Expansions
Eating people.,CAH: Green Box Expansion,CAH Expansions
Eating too many Cinnabons and then vomiting and then eating the vomit.,CAH: Green Box Expansion,CAH Expansions
Ejaculating at the apex of a cartwheel.,CAH: Green Box Expansion,CAH Expansions
"Esmeralda, my most beautiful daughter.",CAH: Green Box Expansion,CAH Expansions
Eternal screaming madness.,CAH: Green Box Expansion,CAH Expansions
Every man’s ultimate fantasy: a perfectly cylindrical vagina.,CAH: Green Box Expansion,CAH Expansions
Everything.,CAH: Green Box Expansion,CAH Expansions
Exploring each other’s buttholes.,CAH: Green Box Expansion,CAH Expansions
Facilitating dialogue and deconstructing binaries.,CAH: Green Box Expansion,CAH Expansions
Falling into a pit of waffles.,CAH: Green Box Expansion,CAH Expansions
Farting a huge shit out of my pussy.,CAH: Green Box Expansion,CAH Expansions
Farting all over my face with your tight little asshole.,CAH: Green Box Expansion,CAH Expansions
Feeling the emotion of anger.,CAH: Green Box Expansion,CAH Expansions
Feminism.,CAH: Green Box Expansion,CAH Expansions
Film roles for actresses over 40.,CAH: Green Box Expansion,CAH Expansions
Finding a nice elevator to poop in.,CAH: Green Box Expansion,CAH Expansions
Forty-five minutes of finger blasting.,CAH: Green Box Expansion,CAH Expansions
Founding a major world religion.,CAH: Green Box Expansion,CAH Expansions
Fucking me good and taking me to Red Lobster.®,CAH: Green Box Expansion,CAH Expansions
Fucking my therapist.,CAH: Green Box Expansion,CAH Expansions
Gary.,CAH: Green Box Expansion,CAH Expansions
Gay thoughts.,CAH: Green Box Expansion,CAH Expansions
Gayle from HR.,CAH: Green Box Expansion,CAH Expansions
Gazpacho.,CAH: Green Box Expansion,CAH Expansions
Getting aborted.,CAH: Green Box Expansion,CAH Expansions
Getting blasted in the face by a t-shirt cannon.,CAH: Green Box Expansion,CAH Expansions
Getting eaten out by a dog.,CAH: Green Box Expansion,CAH Expansions
Getting high with mom.,CAH: Green Box Expansion,CAH Expansions
Getting killed and dragged up a tree by a leopard.,CAH: Green Box Expansion,CAH Expansions
Getting laid like all the time.,CAH: Green Box Expansion,CAH Expansions
Getting naked too soon.,CAH: Green Box Expansion,CAH Expansions
Getting pegged.,CAH: Green Box Expansion,CAH Expansions
Getting the Dorito crumbs out of my pubes.,CAH: Green Box Expansion,CAH Expansions
Getting this party started!,CAH: Green Box Expansion,CAH Expansions
Getting trapped in a conversation about Ayn Rand.,CAH: Green Box Expansion,CAH Expansions
Going around pulling people’s tampons out.,CAH: Green Box Expansion,CAH Expansions
Going to bed at a reasonable hour.,CAH: Green Box Expansion,CAH Expansions
"Gregor, my largest son.",CAH: Green Box Expansion,CAH Expansions
Grunting for ten minutes and then peeing sand.,CAH: Green Box Expansion,CAH Expansions
Guns.,CAH: Green Box Expansion,CAH Expansions
Happy daddies with happy sandals.,CAH: Green Box Expansion,CAH Expansions
Hating Jews.,CAH: Green Box Expansion,CAH Expansions
Having a vagina.,CAH: Green Box Expansion,CAH Expansions
Having an awesome time drinking and driving.,CAH: Green Box Expansion,CAH Expansions
Having sex with a beautiful person.,CAH: Green Box Expansion,CAH Expansions
Having sex with a man and then eating his head.,CAH: Green Box Expansion,CAH Expansions
Having sex with your mom.,CAH: Green Box Expansion,CAH Expansions
Holding the proper political beliefs of my time to attract a mate.,CAH: Green Box Expansion,CAH Expansions
Homework.,CAH: Green Box Expansion,CAH Expansions
Hot lettuce.,CAH: Green Box Expansion,CAH Expansions
How good lead paint taste.,CAH: Green Box Expansion,CAH Expansions
How great my ass looks in these jeans.,CAH: Green Box Expansion,CAH Expansions
How sad it will be when Morgan Freeman dies.,CAH: Green Box Expansion,CAH Expansions
How strange it is to be anything at all.,CAH: Green Box Expansion,CAH Expansions
Huge big balls full of jizz.,CAH: Green Box Expansion,CAH Expansions
Informing you that I am a registered sex offender.,CAH: Green Box Expansion,CAH Expansions
ISIS.,CAH: Green Box Expansion,CAH Expansions
It being too late to stop having sex with a horse.,CAH: Green Box Expansion,CAH Expansions
"Jason, the teen mayor.",CAH: Green Box Expansion,CAH Expansions
Jazz.,CAH: Green Box Expansion,CAH Expansions
Just now finding out about the Armenian Genocide.,CAH: Green Box Expansion,CAH Expansions
Late-stage dementia.,CAH: Green Box Expansion,CAH Expansions
Libertarians.,CAH: Green Box Expansion,CAH Expansions
"Loud, scary thunder.",CAH: Green Box Expansion,CAH Expansions
Making out and stuff.,CAH: Green Box Expansion,CAH Expansions
Math.,CAH: Green Box Expansion,CAH Expansions
"Meatloaf, the food.",CAH: Green Box Expansion,CAH Expansions
"Meatloaf, the man.",CAH: Green Box Expansion,CAH Expansions
Menopause.,CAH: Green Box Expansion,CAH Expansions
Mental illness.,CAH: Green Box Expansion,CAH Expansions
Microaggressions.,CAH: Green Box Expansion,CAH Expansions
Misogyny.,CAH: Green Box Expansion,CAH Expansions
Mixing M&Ms and Skittles like some kind of psychopath.,CAH: Green Box Expansion,CAH Expansions
Mommy and daddy fighting all the time.,CAH: Green Box Expansion,CAH Expansions
Moon people.,CAH: Green Box Expansion,CAH Expansions
Munchin’ puss.,CAH: Green Box Expansion,CAH Expansions
My brother’s hot friends.,CAH: Green Box Expansion,CAH Expansions
My dog dying.,CAH: Green Box Expansion,CAH Expansions
My huge penis and substantial fortune.,CAH: Green Box Expansion,CAH Expansions
Objectifying women.,CAH: Green Box Expansion,CAH Expansions
One of them big-city Jew lawyers.,CAH: Green Box Expansion,CAH Expansions
One of those “blow jobs” I’ve been hearing so much about.,CAH: Green Box Expansion,CAH Expansions
Onions.,CAH: Green Box Expansion,CAH Expansions
Opening your mouth to talk and a big penis flops out.,CAH: Green Box Expansion,CAH Expansions
Our baby.,CAH: Green Box Expansion,CAH Expansions
Out-of-control teenage blowjob parties.,CAH: Green Box Expansion,CAH Expansions
Overthrowing the democratically-elected government of Chile.,CAH: Green Box Expansion,CAH Expansions
Participating.,CAH: Green Box Expansion,CAH Expansions
Period poops.,CAH: Green Box Expansion,CAH Expansions
Picking up a glass of water and taking a sip and being the president.,CAH: Green Box Expansion,CAH Expansions
Playing my asshole like a trumpet.,CAH: Green Box Expansion,CAH Expansions
Plowing that ass like a New England corn farmer.,CAH: Green Box Expansion,CAH Expansions
Political correctness.,CAH: Green Box Expansion,CAH Expansions
Pooping in a leotard and hoping no one notices.,CAH: Green Box Expansion,CAH Expansions
Pooping in the potty.,CAH: Green Box Expansion,CAH Expansions
Prematurely ejaculating like a total loser.,CAH: Green Box Expansion,CAH Expansions
Pretending to be one of the guys but actually being the spider god.,CAH: Green Box Expansion,CAH Expansions
Putting more black people in jail.,CAH: Green Box Expansion,CAH Expansions
Quacking like a duck in lieu of a cogent argument.,CAH: Green Box Expansion,CAH Expansions
Quinoa.,CAH: Green Box Expansion,CAH Expansions
Raising three kids on minimum wage.,CAH: Green Box Expansion,CAH Expansions
Reaching an age where barbecue chips are better than sex.,CAH: Green Box Expansion,CAH Expansions
Regurgitating a half-digested sparrow.,CAH: Green Box Expansion,CAH Expansions
Restoring Germany to its former glory.,CAH: Green Box Expansion,CAH Expansions
Rock-hard tits and a huge vagina.,CAH: Green Box Expansion,CAH Expansions
Rolling so hard.,CAH: Green Box Expansion,CAH Expansions
Rubbing my bush all over your bald head.,CAH: Green Box Expansion,CAH Expansions
Salsa Night at Dave’s Cantina.,CAH: Green Box Expansion,CAH Expansions
"Scissoring, if that’s a thing.",CAH: Green Box Expansion,CAH Expansions
Seizing control of the means of production.,CAH: Green Box Expansion,CAH Expansions
Self-identifying as a DJ.,CAH: Green Box Expansion,CAH Expansions
Showering praise upon the Sultan’s hideous daughters.,CAH: Green Box Expansion,CAH Expansions
Showing all the boys my pussy.,CAH: Green Box Expansion,CAH Expansions
Slamming a dunk.,CAH: Green Box Expansion,CAH Expansions
Smashing my balls at the moment of climax.,CAH: Green Box Expansion,CAH Expansions
Some of that good dick.,CAH: Green Box Expansion,CAH Expansions
Some real spicy shrimps.,CAH: Green Box Expansion,CAH Expansions
Starting a shitty podcast.,CAH: Green Box Expansion,CAH Expansions
Straight blazin’ 24/7.,CAH: Green Box Expansion,CAH Expansions
Sucking each other’s penises for hours on end.,CAH: Green Box Expansion,CAH Expansions
Sudden and unwanted slam poetry.,CAH: Green Box Expansion,CAH Expansions
Systems and policies designed to preserve centuries-old power structures.,CAH: Green Box Expansion,CAH Expansions
Tables.,CAH: Green Box Expansion,CAH Expansions
Taking the form of a falcon.,CAH: Green Box Expansion,CAH Expansions
Tender chunks of all-white-meat chicken.,CAH: Green Box Expansion,CAH Expansions
"That bitch, Stacy.",CAH: Green Box Expansion,CAH Expansions
That chicken from Popeyes. ®,CAH: Green Box Expansion,CAH Expansions
The amount of baby carrots I can fit up my ass.,CAH: Green Box Expansion,CAH Expansions
"The best, deepest quotes from The Dark Knight.",CAH: Green Box Expansion,CAH Expansions
The body of a 46-year-old man.,CAH: Green Box Expansion,CAH Expansions
The bond between a woman and her horse.,CAH: Green Box Expansion,CAH Expansions
The clown that followed me home from the grocery store.,CAH: Green Box Expansion,CAH Expansions
The fear and hatred in men’s hearts.,CAH: Green Box Expansion,CAH Expansions
The feeling of going to McDonald’s as a 6-year-old.,CAH: Green Box Expansion,CAH Expansions
The flaming wreckage of the International Space Station.,CAH: Green Box Expansion,CAH Expansions
The full force of the American military.,CAH: Green Box Expansion,CAH Expansions
The full-blown marginalization of ugly people.,CAH: Green Box Expansion,CAH Expansions
The government.,CAH: Green Box Expansion,CAH Expansions
The graceful path of an autumn leaf as it falls to its earthen cradle.,CAH: Green Box Expansion,CAH Expansions
The hottest MILF in Dallas.,CAH: Green Box Expansion,CAH Expansions
The LGBT community.,CAH: Green Box Expansion,CAH Expansions
The lived experience of African Americans.,CAH: Green Box Expansion,CAH Expansions
The mysterious fog rolling into town.,CAH: Green Box Expansion,CAH Expansions
The ol’ penis-in-the-popcorn surprise.,CAH: Green Box Expansion,CAH Expansions
The Rwandan Genocide.,CAH: Green Box Expansion,CAH Expansions
The secret to truly resilient hair.,CAH: Green Box Expansion,CAH Expansions
"The sweet, forbidden meat of the monkey.",CAH: Green Box Expansion,CAH Expansions
The wind.,CAH: Green Box Expansion,CAH Expansions
Thinking about what eating even is.,CAH: Green Box Expansion,CAH Expansions
Three hours of nonstop penetration.,CAH: Green Box Expansion,CAH Expansions
"Tiny, rancid girl farts.",CAH: Green Box Expansion,CAH Expansions
Trees.,CAH: Green Box Expansion,CAH Expansions
"Trevor, the world’s greatest boyfriend.",CAH: Green Box Expansion,CAH Expansions
Turning 32.,CAH: Green Box Expansion,CAH Expansions
Twenty bucks.,CAH: Green Box Expansion,CAH Expansions
Twenty cheerleaders laughing at your tiny penis.,CAH: Green Box Expansion,CAH Expansions
Twisting my cock and balls into a balloon poodle.,CAH: Green Box Expansion,CAH Expansions
Two beautiful pig sisters.,CAH: Green Box Expansion,CAH Expansions
Two shitty kids and a garbage husband.,CAH: Green Box Expansion,CAH Expansions
Waking up inside of a tornado.,CAH: Green Box Expansion,CAH Expansions
Watching a hot person eat.,CAH: Green Box Expansion,CAH Expansions
Watching you die.,CAH: Green Box Expansion,CAH Expansions
Water.,CAH: Green Box Expansion,CAH Expansions
When the big truck goes “Toot! Toot!”,CAH: Green Box Expansion,CAH Expansions
Who really did 9/11.,CAH: Green Box Expansion,CAH Expansions
Whomsoever let the dogs out.,CAH: Green Box Expansion,CAH Expansions
Whooping your ass at Mario Kart.,CAH: Green Box Expansion,CAH Expansions
Working so hard to have muscles and then having them.,CAH: Green Box Expansion,CAH Expansions
You.,CAH: Green Box Expansion,CAH Expansions
A cranky CEO with the world's biggest dingus.,CAH: Procedurally-Generated Cards,CAH Expansions
A cranky congressman with an impressive scrotum.,CAH: Procedurally-Generated Cards,CAH Expansions
A cranky god with a crappy asshole.,CAH: Procedurally-Generated Cards,CAH Expansions
A cranky god with the world's smallest pecker.,CAH: Procedurally-Generated Cards,CAH Expansions
A cranky hunk with a perfectly-formed asshole.,CAH: Procedurally-Generated Cards,CAH Expansions
A cranky superhero with a surprisingly large cock.,CAH: Procedurally-Generated Cards,CAH Expansions
A cranky surgeon with a glorious pussy.,CAH: Procedurally-Generated Cards,CAH Expansions
A dad with a creamy asshole.,CAH: Procedurally-Generated Cards,CAH Expansions
A dentist with a sopping wet pecker.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat Batman with a sopping wet scrotum.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat cop with a surprisingly large erection.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat guy with a beautiful scrotum.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat hipster with a beautiful asshole.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat horse with a crappy scrotum.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat horse with a spectacular ballsack.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat nerd with the world's biggest dingus.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat nurse with a surprisingly large anus.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat school teacher with an infinite twat.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat surgeon with a creamy dingus.,CAH: Procedurally-Generated Cards,CAH Expansions
A fat wizard with a tremendous vagina.,CAH: Procedurally-Generated Cards,CAH Expansions
A funny little boss with an epic pair of nipples.,CAH: Procedurally-Generated Cards,CAH Expansions
A funny little bro with a glorious pair of tits.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay CEO with a shit-covered dong.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay cop with a sopping wet asshole.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay donkey with an infinite dong.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay fireman with a sopping wet vagina.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay fireman with an impressive anus.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay hipster with an impressive taint.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay nurse with a glorious anus.,CAH: Procedurally-Generated Cards,CAH Expansions
A gay prince with a crappy butthole.,CAH: Procedurally-Generated Cards,CAH Expansions
