prompt,special,set,sheet
What are all those whales singing about?,,CAH: Green Box Expansion,CAH Expansions
What sucks balls?,,CAH: Green Box Expansion,CAH Expansions
What totally destroyed my asshole?,,CAH: Green Box Expansion,CAH Expansions
What turned me into a Republican?,,CAH: Green Box Expansion,CAH Expansions
What will end racism once and for all?,,CAH: Green Box Expansion,CAH Expansions
What’s a total waste of Hillary Clinton’s time?,,CAH: Green Box Expansion,CAH Expansions
What’s about to take dance floor to the next level?,,CAH: Green Box Expansion,CAH Expansions
What’s the gayest?,,CAH: Green Box Expansion,CAH Expansions
What’s the most problematic?,,CAH: Green Box Expansion,CAH Expansions
Why am I laughing and crying and taking off my clothes?,,CAH: Green Box Expansion,CAH Expansions
"With a one-time gift of just $10, you can save this child from ______.",,CAH: Green Box Expansion,CAH Expansions
You know who else liked ______? Hitler.,,CAH: Green Box Expansion,CAH Expansions
You won’t believe what’s in my pussy. It’s ______.,,CAH: Green Box Expansion,CAH Expansions
______ would be woefully incomplete without ______.,PICK 2,CAH: Red Box Expansion,CAH Expansions
______: Hours of fun. Easy to use. Perfect for ______!,PICK 2,CAH: Red Box Expansion,CAH Expansions
"______. Awesome in theory, kind of a mess in practice.",,CAH: Red Box Expansion,CAH Expansions
A remarkable new study has shown that chimps have evolved their own primitive version of ______.,,CAH: Red Box Expansion,CAH Expansions
A successful job interview begins with a firm handshake and ends with ______.,,CAH: Red Box Expansion,CAH Expansions
"After months of practice with ______, I think I’m finally ready for ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"And I would have gotten away with it, too, if it hadn't been for ______!",,CAH: Red Box Expansion,CAH Expansions
And what did you bring for show and tell?,,CAH: Red Box Expansion,CAH Expansions
"As part of his contract, Prince won’t perform without ______ in his dressing room.",,CAH: Red Box Expansion,CAH Expansions
"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______.",,CAH: Red Box Expansion,CAH Expansions
"Awww, sick! I just say this skater do a 720 kickflip into ______!",,CAH: Red Box Expansion,CAH Expansions
"Before ______, all we had was ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"Before I run for president, I must destroy all evidence of my involvement with ______.",,CAH: Red Box Expansion,CAH Expansions
"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace.",,CAH: Red Box Expansion,CAH Expansions
Charades was ruined for me forever when my mom had to act out ______.,,CAH: Red Box Expansion,CAH Expansions
"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",,CAH: Red Box Expansion,CAH Expansions
During high school I never really fit in until I found ______ club.,,CAH: Red Box Expansion,CAH Expansions
"During his midlife crisis, my dad got really into ______.",,CAH: Red Box Expansion,CAH Expansions
Finally! A service that delivers ______ right to your door.,,CAH: Red Box Expansion,CAH Expansions
Future Historians will agree that ______ marked the beginning of America's decline.,,CAH: Red Box Expansion,CAH Expansions
Having problems with ______? Try ______!,PICK 2,CAH: Red Box Expansion,CAH Expansions
"Hey baby, come back to my place and I’ll show you ______.",,CAH: Red Box Expansion,CAH Expansions
I learned the hard way that you can't cheer up a grieving friend with ______.,,CAH: Red Box Expansion,CAH Expansions
I love being a mom. But it's tough when my kids come home filthy from ______. That's why there's Tide®.,,CAH: Red Box Expansion,CAH Expansions
"I spent my whole life working toward ______, only to have it ruined by ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"I went from ______ to ______, all thanks to ______.","DRAW 2, PICK 3",CAH: Red Box Expansion,CAH Expansions
I’m not like the rest of you. I’m too rich and busy for ______.,,CAH: Red Box Expansion,CAH Expansions
"If God didn't want us to enjoy ______, he wouldn't have given us ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"In a pinch, ______ can be a suitable substitute for ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"In his new self-produced album, Kanye West raps over the sounds of ______.",,CAH: Red Box Expansion,CAH Expansions
"In his newest and most difficult stunt, David Blaine must escape from ______.",,CAH: Red Box Expansion,CAH Expansions
"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______.",,CAH: Red Box Expansion,CAH Expansions
"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",,CAH: Red Box Expansion,CAH Expansions
"In the seventh circle of Hell, sinners must endure ______ for all eternity.",,CAH: Red Box Expansion,CAH Expansions
Legend has it Prince wouldn't perform without ______ in his dressing room.,,CAH: Red Box Expansion,CAH Expansions
"Listen, son. If you want to get involved with ______, I won’t stop you. Just steer clear of ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"Little Miss Muffet Sat on a tuffet, Eating her curds and ______.",,CAH: Red Box Expansion,CAH Expansions
Lovin’ you is easy ’cause you’re ______.,,CAH: Red Box Expansion,CAH Expansions
Members of New York's social elite are paying thousands of dollars just to experience ______.,,CAH: Red Box Expansion,CAH Expansions
Michael Bay's new three-hour action epic pits ______ against ______.,PICK 2,CAH: Red Box Expansion,CAH Expansions
"Money can’t buy me love, but it can buy me ______.",,CAH: Red Box Expansion,CAH Expansions
"My country, 'tis of thee, sweet land of ______.",,CAH: Red Box Expansion,CAH Expansions
My gym teacher got fired for adding ______ to the obstacle course.,,CAH: Red Box Expansion,CAH Expansions
My life is ruled by a vicious cycle of ______ and ______.,PICK 2,CAH: Red Box Expansion,CAH Expansions
My mom freaked out when she looked at my browser history and found ______.com/______.,PICK 2,CAH: Red Box Expansion,CAH Expansions
"My new favorite porn star is Joey ""______"" McGee.",,CAH: Red Box Expansion,CAH Expansions
My plan for world domination begins with ______.,,CAH: Red Box Expansion,CAH Expansions
Next time on Dr. Phil: How to talk to your child about ______.,,CAH: Red Box Expansion,CAH Expansions
"Next week on the Discovery Channel, one man must survive in the depths of the Amazon with only ______ and his wits.",,CAH: Red Box Expansion,CAH Expansions
Only two things in life are certain: death and ______.,,CAH: Red Box Expansion,CAH Expansions
Science will never explain ______.,,CAH: Red Box Expansion,CAH Expansions
The blind date was going horribly until we discovered our shared interest in ______.,,CAH: Red Box Expansion,CAH Expansions
The CIA now interrogates enemy agents by repeatedly subjecting them to ______.,,CAH: Red Box Expansion,CAH Expansions
"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance.",,CAH: Red Box Expansion,CAH Expansions
The healing process began when I joined a support group for victims of ______.,,CAH: Red Box Expansion,CAH Expansions
"The secret to a lasting marriage is communication, communication, and ______.",,CAH: Red Box Expansion,CAH Expansions
This is your captain speaking. Fasten your seatbelts and prepare for ______.,,CAH: Red Box Expansion,CAH Expansions
"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom.""",,CAH: Red Box Expansion,CAH Expansions
"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of ______.",,CAH: Red Box Expansion,CAH Expansions
Tonight on 20/20: What you don't know about ______ could kill you.,,CAH: Red Box Expansion,CAH Expansions
Turns out that ______-Man was neither the hero we needed nor wanted.,,CAH: Red Box Expansion,CAH Expansions
"Welcome to Señor Frog's! Would you like to try our signature cocktail, “______ on the Beach""?",,CAH: Red Box Expansion,CAH Expansions
What brought the orgy to a grinding halt?,,CAH: Red Box Expansion,CAH Expansions
What has been making life difficult at the nudist colony?,,CAH: Red Box Expansion,CAH Expansions
What left this stain on my couch?,,CAH: Red Box Expansion,CAH Expansions
"What's harshing my mellow, man?",,CAH: Red Box Expansion,CAH Expansions
"When all else fails, I can always masturbate to ______.",,CAH: Red Box Expansion,CAH Expansions
"When I pooped, what came out of my butt?",,CAH: Red Box Expansion,CAH Expansions
"When you get right down to it, ______ is just ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
"With enough time and pressure, ______ will turn into ______.",PICK 2,CAH: Red Box Expansion,CAH Expansions
You haven't truly lived until you've experienced ______ and ______ at the same time.,PICK 2,CAH: Red Box Expansion,CAH Expansions
"Your persistence is admirable, my dear Prince. But you cannot win my heart with ______ alone.",,CAH: Red Box Expansion,CAH Expansions
"""This is madness."" ""No, THIS IS ______!""",,CAH: Sixth Expansion,CAH Expansions
"And would you like those buffalo wings mild, hot, or ______?",,CAH: Sixth Expansion,CAH Expansions
Behind every powerful man is ______.,,CAH: Sixth Expansion,CAH Expansions
"Come to Dubai, where you can relax in our world-famous spas, experience the nightlife, or simply enjoy ______ by the poolside.",,CAH: Sixth Expansion,CAH Expansions
Don't worry kid. It gets better. I've been living with ______ for 20 years.,,CAH: Sixth Expansion,CAH Expansions
Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.,,CAH: Sixth Expansion,CAH Expansions
"I have a strict policy. First date, dinner. Second date, kiss. Third date, ______.",,CAH: Sixth Expansion,CAH Expansions
I went to the desert and ate of the peyote cactus. Turns out my spirit animal is ______.,,CAH: Sixth Expansion,CAH Expansions
"I work my ass off all day for this family, and this is what I come home to? ______!?",,CAH: Sixth Expansion,CAH Expansions
"I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of ______.",,CAH: Sixth Expansion,CAH Expansions
"I'm sorry, Mrs. Chen, but there was nothing we could do. At 4:15 this morning, your son succumbed to ______.",,CAH: Sixth Expansion,CAH Expansions
"If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?",,CAH: Sixth Expansion,CAH Expansions
"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______.",,CAH: Sixth Expansion,CAH Expansions
"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______.",,CAH: Sixth Expansion,CAH Expansions
"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______.",,CAH: Sixth Expansion,CAH Expansions
Puberty is a time of change. You might notice hair growing in new places. You might develop an intrest in ______. This is normal.,,CAH: Sixth Expansion,CAH Expansions
"The six things I could never do without: oxygen, facebook, chocolate, netflix, friends, and ______ LOL!",,CAH: Sixth Expansion,CAH Expansions
"This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ______.",,CAH: Sixth Expansion,CAH Expansions
"To become a true Yanomamo warrior, you must prove that you can withstand ______ without crying out.",,CAH: Sixth Expansion,CAH Expansions
"Tonight we will have sex. And afterwards, If you'd like, a little bit of ______.",,CAH: Sixth Expansion,CAH Expansions
"When I was a kid, we used to play Cowboys and ______.",,CAH: Sixth Expansion,CAH Expansions
Why won't you make love to me anymore? Is it ______?,,CAH: Sixth Expansion,CAH Expansions
"Y'all ready to get this thing started? I'm Nick Cannon, and this is America's Got ______.",,CAH: Sixth Expansion,CAH Expansions
You are not alone. Millions of Americans struggle with ______ every day.,,CAH: Sixth Expansion,CAH Expansions
"You know, once you get past ______, ______ ain't so bad.",Pick 2,CAH: Sixth Expansion,CAH Expansions
You Won't Believe These 15 Hilarious ______ Bloopers!,,CAH: Sixth Expansion,CAH Expansions
______: Hours of fun. Easy to use. Perfect for ______!,PICK 2,CAH: Third Expansion,CAH Expansions
"______. Awesome in theory, kind of a mess in practice.",,CAH: Third Expansion,CAH Expansions
A successful job interview begins with a firm handshake and ends with ______.,,CAH: Third Expansion,CAH Expansions
"After months of practice with ______, I think I’m finally ready for ______.",PICK 2,CAH: Third Expansion,CAH Expansions
And what did you bring for show and tell?,,CAH: Third Expansion,CAH Expansions
"As part of his contract, Prince won’t perform without ______ in his dressing room.",,CAH: Third Expansion,CAH Expansions
"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______.",,CAH: Third Expansion,CAH Expansions
"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace.",,CAH: Third Expansion,CAH Expansions
During high school I never really fit in until I found ______ club.,,CAH: Third Expansion,CAH Expansions
Finally! A service that delivers ______ right to your door.,,CAH: Third Expansion,CAH Expansions
Having problems with ______? Try ______!,PICK 2,CAH: Third Expansion,CAH Expansions
"Hey baby, come back to my place and I’ll show you ______.",,CAH: Third Expansion,CAH Expansions
I’m not like the rest of you. I’m too rich and busy for ______.,,CAH: Third Expansion,CAH Expansions
"In the seventh circle of Hell, sinners must endure ______ for all eternity.",,CAH: Third Expansion,CAH Expansions
"Listen, son. If you want to get involved with ______, I won’t stop you. Just steer clear of ______.",PICK 2,CAH: Third Expansion,CAH Expansions
Lovin’ you is easy ’cause you’re ______.,,CAH: Third Expansion,CAH Expansions
"Money can’t buy me love, but it can buy me ______.",,CAH: Third Expansion,CAH Expansions
My gym teacher got fired for adding ______ to the obstacle course.,,CAH: Third Expansion,CAH Expansions
My life is ruled by a vicious cycle of ______ and ______.,PICK 2,CAH: Third Expansion,CAH Expansions
The blind date was going horribly until we discovered our shared interest in ______.,,CAH: Third Expansion,CAH Expansions
"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of ______.",,CAH: Third Expansion,CAH Expansions
Turns out that ______-Man was neither the hero we needed nor wanted.,,CAH: Third Expansion,CAH Expansions
What left this stain on my couch?,,CAH: Third Expansion,CAH Expansions
"When you get right down to it, ______ is just ______.",PICK 2,CAH: Third Expansion,CAH Expansions
"With enough time and pressure, ______ will turn into ______.",PICK 2,CAH: Third Expansion,CAH Expansions
______ + ______ = ______.,"DRAW 2, PICK 3",CAH Base Set,CAH Main Deck
______ is a slippery slope that leads to ______.,PICK 2,CAH Base Set,CAH Main Deck
______ would be woefully incomplete without ______.,PICK 2,CAH Base Set,CAH Main Deck
______: good to the last drop.,,CAH Base Set,CAH Main Deck
"______: kid tested, mother approved.",,CAH Base Set,CAH Main Deck
"______: kid-tested, mother-approved.",,CAH Base Set,CAH Main Deck
"______: Once you pop, the fun don't stop!",,CAH Base Set,CAH Main Deck
______? Jim'll fix it!,,CAH Base Set,CAH Main Deck
______? There's an app for that.,,CAH Base Set,CAH Main Deck
"______? Yeah, nah.",,CAH Base Set,CAH Main Deck
"______. Awesome in theory, kind of a mess in practice.",,CAH Base Set,CAH Main Deck
______. Betcha can't have just one!,,CAH Base Set,CAH Main Deck
"______. High five, bro.",,CAH Base Set,CAH Main Deck
______. It's a trap!,,CAH Base Set,CAH Main Deck
______. That was so metal.,,CAH Base Set,CAH Main Deck
______. That's how I want to die.,,CAH Base Set,CAH Main Deck
______. That's why mums go to Iceland.,,CAH Base Set,CAH Main Deck
★✰✰✰✰ Do NOT go here! Found _____ in my Kung Pao chicken! ,,CAH Base Set,CAH Main Deck
50% of all marriages end in ______.,,CAH Base Set,CAH Main Deck
A recent laboratory study shows that undergraduates have 50% less sex after being exposed to ______.,,CAH Base Set,CAH Main Deck
A remarkable new study has shown that chimps have evolved their own primitive version of ______.,,CAH Base Set,CAH Main Deck
A romantic candlelit dinner would be incomplete without ______.,,CAH Base Set,CAH Main Deck
"A romantic, candlelit dinner would be incomplete without ______.",,CAH Base Set,CAH Main Deck
A successful job interview begins with a firm handshake and ends with ______.,,CAH Base Set,CAH Main Deck
"ABC presents: ""______: The Story of ______.""",PICK 2,CAH Base Set,CAH Main Deck
"After eight years in the White House, how is Obama finally letting loose?",,CAH Base Set,CAH Main Deck
"After four platinum albums and three Grammys, it's time to get back to my roots, to what inspired me to make music in the first place: ______.",,CAH Base Set,CAH Main Deck
"After Hurricane Katrina, Sean Penn brought ______ to all the people of New Orleans.",,CAH Base Set,CAH Main Deck
"After Hurricane Katrina, Sean Penn brought ______ to the people of New Orleans.",,CAH Base Set,CAH Main Deck
"After months of practice with ______, I think I’m finally ready for ______.",PICK 2,CAH Base Set,CAH Main Deck
"After the earthquake, Sean Penn brought ______ to the people of Haiti.",,CAH Base Set,CAH Main Deck
Air Canada guidelines now prohibit ______ on airplanes.,,CAH Base Set,CAH Main Deck
Airport security guidelines now prohibit ______ on airplanes.,,CAH Base Set,CAH Main Deck
Alternative medicine is now embracing the curative powers of ______.,,CAH Base Set,CAH Main Deck
And the Academy Award for ______ goes to ______.,PICK 2,CAH Base Set,CAH Main Deck
And the BAFTA for ______ goes to ______. ,,CAH Base Set,CAH Main Deck
And what did you bring for show and tell?,,CAH Base Set,CAH Main Deck
Anthropologists have recently discovered a primitive tribe that worships ______.,,CAH Base Set,CAH Main Deck
Arby's: We Have ______.,,CAH Base Set,CAH Main Deck
"Are you thinking what I'm thinking, B1?

I think I am, B2: it's ______ time!",,CAH Base Set,CAH Main Deck
"As my New Year's resolution, I vow to give up ______.",,CAH Base Set,CAH Main Deck
"As the mom of five rambunctious boys, I'm no stranger to ______.",,CAH Base Set,CAH Main Deck
"As the mum of five rambunctious boys, I'm no stranger to ______.",,CAH Base Set,CAH Main Deck
Betcha can't have just one!,,CAH Base Set,CAH Main Deck
BILLY MAYS HERE FOR ______.,,CAH Base Set,CAH Main Deck
Bravo's new reality show features eight washed-up celebrities living with ______.,,CAH Base Set,CAH Main Deck
"Brought to you by Bud Light®, the Official Beer of ______.",,CAH Base Set,CAH Main Deck
"Brought to you by Molson Canadian, the Official Beer of ______.",,CAH Base Set,CAH Main Deck
"Brought to you by XXXX Gold, the Official Beer of ______.",,CAH Base Set,CAH Main Deck
"But before I kill you, Mr. Bond, I must show you ______.",,CAH Base Set,CAH Main Deck
"CBC presents ""___: the Story of ___.""",,CAH Base Set,CAH Main Deck
"Channel 4 presents ______, the story of ______.",,CAH Base Set,CAH Main Deck
Channel 5's new reality show features eight washed-up celebrities living with ______.,,CAH Base Set,CAH Main Deck
"Channel 9 is pleased to present its new variety show, ""Hey Hey It's ______.""",,CAH Base Set,CAH Main Deck
Charades was ruined for me forever when my mom had to act out ______.,,CAH Base Set,CAH Main Deck
"Check me out, yo! I call this dance move ""______.""",,CAH Base Set,CAH Main Deck
Click Here for ______!!!,,CAH Base Set,CAH Main Deck
"Coming this season, Samuel Beckett's classic existential play: Waiting for ______.",,CAH Base Set,CAH Main Deck
"Coming to Broadway this season, ______: The Musical.",,CAH Base Set,CAH Main Deck
"Coming to the West End this year, ______: The Musical.",,CAH Base Set,CAH Main Deck
Crikey! I've never seen ______ like this before! Let's get a bit closer.,,CAH Base Set,CAH Main Deck
"CTV presents ""______: the Story of ______.""",PICK 2,CAH Base Set,CAH Main Deck
"Daddy, why is mommy crying?",,CAH Base Set,CAH Main Deck
"Daddy, why is mummy crying?",,CAH Base Set,CAH Main Deck
"Dear Abby, I'm having some trouble with ______ and would like your advice.",,CAH Base Set,CAH Main Deck
"Dear Agony Aunt, I'm having some trouble with ________ and I need your advice.",,CAH Base Set,CAH Main Deck
"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______.",PICK 2,CAH Base Set,CAH Main Deck
"Doctor, you've gone too far! The human body wasn't meant to withstand that amount of ______!",,CAH Base Set,CAH Main Deck
"Dude, do not go in that bathroom. There's ______ in there.",,CAH Base Set,CAH Main Deck
"Dude, do not go in that washroom. There's ______ in there.",,CAH Base Set,CAH Main Deck
"Due to a PR fiasco, Walmart no longer offers ______.",,CAH Base Set,CAH Main Deck
"During his childhood, Salvador Dali produced hundreds of paintings of ______.",,CAH Base Set,CAH Main Deck
"During his midlife crisis, my dad got really into ______.",,CAH Base Set,CAH Main Deck
"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of ______.",,CAH Base Set,CAH Main Deck
"During sex, I like to think about ______.",,CAH Base Set,CAH Main Deck
Finally! A service that delivers ______ right to your door.,,CAH Base Set,CAH Main Deck
"For my next trick, I will pull ______ out of ______.",PICK 2,CAH Base Set,CAH Main Deck
"Fun tip! When your man asks you to go down on him, try surprising him with ______ instead.",,CAH Base Set,CAH Main Deck
Future historians will agree that ______ marked the beginning of America's decline.,,CAH Base Set,CAH Main Deck
Having problems with ______? Try ______!,PICK 2,CAH Base Set,CAH Main Deck
"Here is the church
Here is the steeple
Open the doors
And there is ______.",,CAH Base Set,CAH Main Deck
"Hey guys, welcome to Boston Pizza! Would you like to start the night off right with ______?",,CAH Base Set,CAH Main Deck
"Hey guys, welcome to Chili's! Would you like to start the night off right with ______?",,CAH Base Set,CAH Main Deck
"Hey guys, welcome to Sizzler! Would you like to start the night off right with ______?",,CAH Base Set,CAH Main Deck
"Hey guys, welcome to TGIF! Would you like to start the night off right with ______?",,CAH Base Set,CAH Main Deck
Hey Reddit! I'm ______. Ask me anything.,,CAH Base Set,CAH Main Deck
How am I maintaining my relationship status?,,CAH Base Set,CAH Main Deck
How did I lose my virginity?,,CAH Base Set,CAH Main Deck
"I do not know with what weapons World War III will be fought, but World War IV will be fought with ______.",,CAH Base Set,CAH Main Deck
I drink to forget ______.,,CAH Base Set,CAH Main Deck
I get by with a little help from ______.,,CAH Base Set,CAH Main Deck
I got 99 problems but ______ ain't one.,,CAH Base Set,CAH Main Deck
"I know when that hotline bling, that can only mean one thing: ______.",,CAH Base Set,CAH Main Deck
I learned the hard way that you can't cheer up a grieving friend with ______.,,CAH Base Set,CAH Main Deck
I never truly understood ______ until I encountered ______.,PICK 2,CAH Base Set,CAH Main Deck
"I spent my whole life working toward ______, only to have it ruined by ______.",PICK 2,CAH Base Set,CAH Main Deck
I wish I hadn't lost the instruction manual for ______.,,CAH Base Set,CAH Main Deck
I'm going on a cleanse this week. Nothing but kale juice and ______.,,CAH Base Set,CAH Main Deck
"I'm Lebron James, and when I'm not slamming dunks, I love ______.",,CAH Base Set,CAH Main Deck
"I'm no doctor, but I'm pretty sure what you're suffering from is called ""______.""",,CAH Base Set,CAH Main Deck
"I'm sorry, Professor, but I couldn't complete my homework because of ______.",,CAH Base Set,CAH Main Deck
"I'm sorry, Sir, but I couldn't complete my homework because of ______.",,CAH Base Set,CAH Main Deck
I’m not like the rest of you. I’m too rich and busy for ______.,,CAH Base Set,CAH Main Deck
"If you can't be with the one you love, love ______.",,CAH Base Set,CAH Main Deck
"IF you like ______, YOU MIGHT BE A REDNECK.",,CAH Base Set,CAH Main Deck
"In 1,000 years, when paper money is a distant memory, how will we pay for goods and services?",,CAH Base Set,CAH Main Deck
"In 1,000 years, when paper money is but a distant memory, ______ will be our currency.",,CAH Base Set,CAH Main Deck
In a world ravaged by ______ our only solace is ______.,PICK 2,CAH Base Set,CAH Main Deck
"In a world ravaged by ______, our only solace is ______.",PICK 2,CAH Base Set,CAH Main Deck
"In an attempt to reach a wider audience, the National Museum of Australia has opened an interactive exhibit on ______.",,CAH Base Set,CAH Main Deck
"In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on ______.",,CAH Base Set,CAH Main Deck
"In Australia, ______ is twice as big and twice as deadly.",,CAH Base Set,CAH Main Deck
"In Belmarsh Prison, word is you can trade 200 cigarettes for ______.",,CAH Base Set,CAH Main Deck
"In her latest feature-length film, Tracy Beaker struggles with ______ for the first time.",,CAH Base Set,CAH Main Deck
"In his new self-produced album, Kanye West raps over the sounds of ______.",,CAH Base Set,CAH Main Deck
"In his new summer comedy, Rob Schneider is ______ trapped in the body of ______.",PICK 2,CAH Base Set,CAH Main Deck
"In L.A. County Jail, word is you can trade 200 cigarettes for ______.",,CAH Base Set,CAH Main Deck
"In M. Night Shyamalan's new movie, Bruce Willis discovers that ______ had really been ______ all along.",PICK 2,CAH Base Set,CAH Main Deck
"In Michael Jackson's final moments, he thought about ______.",,CAH Base Set,CAH Main Deck
"In Rome, there are whisperings that the Vatican has a secret room devoted to ______.",,CAH Base Set,CAH Main Deck
"In the new Disney Channel Original Movie, Hannah Montana struggles with ______ for the first time.",,CAH Base Set,CAH Main Deck
"In the seventh circle of Hell, sinners must endure ______ for all eternity.",,CAH Base Set,CAH Main Deck
"In Wormwood Scrubs, word is you can trade 200 cigarettes for ______.",,CAH Base Set,CAH Main Deck
"Instead of coal, Father Christmas now gives the bad children ______.",,CAH Base Set,CAH Main Deck
"Instead of coal, Santa now gives the bad children ______.",,CAH Base Set,CAH Main Deck
Introducing the amazing superhero/sidekick duo! It's ______ and ______!,PICK 2,CAH Base Set,CAH Main Deck
"Introducing X-Treme Baseball! It's like baseball, but with ______!",,CAH Base Set,CAH Main Deck
It's a trap!,,CAH Base Set,CAH Main Deck
It’s a pity that kids these days are all getting involved with ______.,,CAH Base Set,CAH Main Deck
"Just once, I'd like to hear you say ""Thanks, Mom. Thanks for ______.""",,CAH Base Set,CAH Main Deck
"Just once, I'd like to hear you say ""Thanks, Mum. Thanks for ______.""",,CAH Base Set,CAH Main Deck
Just saw this upsetting video! Please retweet!! #stop______,,CAH Base Set,CAH Main Deck
"Kids, I don't need drugs to get high. I'm high on ______.",,CAH Base Set,CAH Main Deck
Life for Aboriginal people was forever changed when the white man introduced them to ______.,,CAH Base Set,CAH Main Deck
Life for American Indians was forever changed when the White Man introduced them to ______.,,CAH Base Set,CAH Main Deck
Life was difficult for cavemen before ______.,,CAH Base Set,CAH Main Deck
Lifetime® presents ______: the Story of ______.,PICK 2,CAH Base Set,CAH Main Deck
"Lifetime® presents ""______: the Story of ______.""",PICK 2,CAH Base Set,CAH Main Deck
Lovin’ you is easy ’cause you’re ______.,,CAH Base Set,CAH Main Deck
Major League Baseball has banned ______ for giving players an unfair advantage.,,CAH Base Set,CAH Main Deck
Make a haiku.,"DRAW 2, PICK 3",CAH Base Set,CAH Main Deck
"Mate, do not go in that bathroom. There's ______ in there.",,CAH Base Set,CAH Main Deck
"Mate, do not go in that toilet. There's ______ in there.",,CAH Base Set,CAH Main Deck
Maybe she's born with it. Maybe it's ______.,,CAH Base Set,CAH Main Deck
Men's Wearhouse: You're gonna like ______. I guarantee it.,,CAH Base Set,CAH Main Deck
Military historians remember Alexander the Great for his brilliant use of ______ against the Persians.,,CAH Base Set,CAH Main Deck
"Money can’t buy me love, but it can buy me ______.",,CAH Base Set,CAH Main Deck
"Mr. and Mrs. Diaz, we called you in because we're concerned about Cynthia. Are you aware that your daughter is ______?",,CAH Base Set,CAH Main Deck
MTV's new reality show features eight washed-up celebrities living with ______.,,CAH Base Set,CAH Main Deck
"My fellow Americans: Before this decade is out, we will have ______ on the moon!",,CAH Base Set,CAH Main Deck
My mom freaked out when she looked at my browser history and found ______.com/______.,PICK 2,CAH Base Set,CAH Main Deck
My plan for world domination begins with ______.,PICK 2,CAH Base Set,CAH Main Deck
Next from J.K. Rowling: Harry Potter and the Chamber of ______.,,CAH Base Set,CAH Main Deck
Next from J.K. Rowling: Harry Potter and the Chamber of ______.,,CAH Base Set,CAH Main Deck
Next on ESPN2: The World Series of ______.,,CAH Base Set,CAH Main Deck
Next on Eurosport: The World Championship of _______.,,CAH Base Set,CAH Main Deck
Next on Nine's Wide World of Sports: The World Championship of ______.,,CAH Base Set,CAH Main Deck
Next on Sky Sports: The World Championship of ________.,,CAH Base Set,CAH Main Deck
Next on Sky Sports: The World Champsion of ________.,,CAH Base Set,CAH Main Deck
Next on TSN: The World Series of ______.,,CAH Base Set,CAH Main Deck
Next up on Channel 4: Ramsay's ______ Nightmares.,,CAH Base Set,CAH Main Deck
"Nobody expects the Spanish Inquisition. Our chief weapons are fear, surprise, and ________.",,CAH Base Set,CAH Main Deck
Now at the National Museum of Australia: an interactive exhibit on ______.,,CAH Base Set,CAH Main Deck
Now at the Natural History Museum: an interactive exhibit on ______.,,CAH Base Set,CAH Main Deck
Now at the Royal Ontario Museum: an interactive exhibit on ______.,,CAH Base Set,CAH Main Deck
Now at the Smithsonian: an interactive exhibit on ______.,,CAH Base Set,CAH Main Deck
"O Canada, we stand on guard for ______.",,CAH Base Set,CAH Main Deck
Oi! Show us ______!,,CAH Base Set,CAH Main Deck
Old MacDonald had ______. E-I-E-I-O.,,CAH Base Set,CAH Main Deck
Only two things in life are certain: death and ______.,,CAH Base Set,CAH Main Deck
Penalty! ______: that's 5 minutes in the box!,,CAH Base Set,CAH Main Deck
Qantas now prohibits ______ on airplanes.,,CAH Base Set,CAH Main Deck
Rumor has it that Vladimir Putin's favorite dish is ______ stuffed with ______.,PICK 2,CAH Base Set,CAH Main Deck
Science will never explain ______.,,CAH Base Set,CAH Main Deck
"Skidamarink a dink a dink, skidamarink a doo, I love ______.",,CAH Base Set,CAH Main Deck
"Sorry everyone, I just ______.",,CAH Base Set,CAH Main Deck
